CORTE,ENTITY_NAME_RAW,ENTITY_TYPE_RAW,MOTIVO
MAR2016,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2016,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
MAR2016,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2016,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
MAR2016,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2016,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2016,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
SEP2016,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2016,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
SEP2016,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2017,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2017,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
MAR2017,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2017,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
MAR2017,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2017,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2017,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
SEP2017,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2017,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
SEP2017,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2018,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
MAR2018,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2018,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
MAR2018,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2018,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2018,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
SEP2018,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2018,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
SEP2018,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2019,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
MAR2019,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2019,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
MAR2019,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2019,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2019,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
SEP2019,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2019,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
SEP2019,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2020,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2020,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
MAR2020,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2020,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
MAR2020,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2020,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2020,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
SEP2020,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2020,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
SEP2020,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2021,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2021,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
MAR2021,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2021,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
MAR2021,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2021,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2021,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
SEP2021,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2021,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
SEP2021,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2022,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2022,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
MAR2022,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
MAR2022,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
MAR2022,NACION,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2022,AGROBANCO,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2022,CMCP LIMA,Caja Municipal de Ahorro y Crédito,Sin dataset financiero (exclusion esperada y documentada)
SEP2022,COFIDE,Banco,Sin dataset financiero (exclusion esperada y documentada)
SEP2022,INFINANCE XP S.A.,Financiera,Sin dataset financiero (exclusion esperada y documentada)
